claim_id,paper_section,research_question,claim_type,claim_text,safe_wording,evidence_artifacts,metric_or_row_filter,claim_strength,limitations,writing_status
C01,Abstract/Introduction,All,scope,"The evaluation uses a synthetic CCTNS/ICJS-style inter-agency access-governance workload, not real police records.","We evaluate SEBA-XAI on a synthetic inter-agency access-request workload inspired by CCTNS/ICJS-style sharing.","results/FINDINGS.md; prototype/runs/*/artifacts/access_requests.csv; papers/final_paper/methodology/methodology_draft_v1.md","synthetic workload; seeds 7|21|42|99|123",strong_for_scope,"Does not prove real CCTNS/ICJS performance or access to real police records.",allowed
C02,Introduction/Contributions,All,scope,"SEBA-XAI is an access-governance and audit paper, not a crime-prediction paper.","The paper studies access governance, auditability, and explanation of access decisions rather than individual crime prediction.","papers/final_paper/claim_control_memo.md; results/FINDINGS.md","forbidden claims and paper framing",strong_for_scope,"NCRB/BPRD can be used for context only unless separate aggregate modeling is implemented.",allowed
C03,Methodology,RQ1,method,"The prototype compares mutable logs, signed hash chains, blockchain-style audit, CT-style logs, ABAC/Fabric-style re-execution, trusted policy oracle, and NS-PI.","We compare multiple audit and policy-checking baselines under explicit visibility assumptions.","results/tables/full_grid_aas_by_defense.csv; results/tables/full_grid_raw.csv; papers/final_paper/claim_control_memo.md","defense column; baseline visibility assumptions",strong_for_synthetic_benchmark,"Some baselines are simulations, not deployed production systems.",allowed
C04,Methodology/Threat Model,RQ1,method,"The blockchain component is a permissioned blockchain-style audit simulation.","The blockchain layer is a local permissioned-audit simulation that records commitments and detects controlled tampering.","prototype/synthetic_access_sim/blockchain_audit.py; results/tables/paper_table_02_tamper_detection.csv; results/tables/full_grid_per_attack.csv","permissioned_blockchain_style rows",moderate,"No real Hyperledger Fabric test-network evidence exists yet.",allowed_with_boundary
C05,Results,RQ1,result,"Mutable logs are weak for controlled tamper cases.","The mutable log baseline does not internally detect the controlled edits in the local tamper test.","results/tables/paper_table_02_tamper_detection.csv","audit_log mutable_log detection_rate=0.0000",strong_for_local_test,"This is based on the implemented mutable-log baseline, not all possible database audit systems.",allowed
C06,Results,RQ1,result,"Signed hash-chain logs detect the controlled edits in the local tamper test.","The signed hash-chain baseline detects the controlled edits in the local test.","results/tables/paper_table_02_tamper_detection.csv","audit_log signed_hash_chain detection_rate=1.0000",strong_for_local_test,"Does not prevent validly re-signed compromised events.",allowed
C07,Results,RQ1,result,"Blockchain-style audit detects controlled block and commitment edits.","The permissioned blockchain-style blocks detect the controlled block and commitment edits in the local simulation.","results/tables/paper_table_02_tamper_detection.csv","blockchain_audit permissioned_blockchain_style detection_rate=1.0000",strong_for_local_simulation,"No live Fabric deployment; does not imply production security.",allowed_with_boundary
C08,Results,RQ1,result,"Cryptographic and ABAC-style defenses remain stronger than mutable logs for ordinary event edits in the tested workload.","For ordinary event edits, cryptographic and ABAC-style defenses perform better than the mutable log baseline in the synthetic benchmark.","results/tables/full_grid_aas_by_defense.csv; results/tables/full_grid_per_attack.csv; results/FINDINGS.md","ordinary attacks excluding compromised_signer; AAS values",strong_for_synthetic_benchmark,"Should not be generalized beyond the implemented attack catalog.",allowed
C09,Results,RQ1,result,"Trusted policy oracle has the highest overall AAS in the current synthetic benchmark.","The trusted policy oracle reaches the strongest overall result under its independent raw-attribute visibility assumption.","results/tables/full_grid_aas_by_defense.csv; results/FINDINGS.md","trusted_policy_oracle aas_mean=1.0000",strong_for_synthetic_benchmark,"Strong assumption; not a free operational guarantee.",allowed
C10,Results,RQ1,result,"NS-PI is not the strongest overall detector.","NS-PI is not the best overall tamper detector; it is a complementary log-only drift signal.","results/tables/full_grid_aas_by_defense.csv; results/FINDINGS.md","nspi_drift aas_mean=0.2500; trusted_policy_oracle aas_mean=1.0000",strong_for_synthetic_benchmark,"Do not claim NS-PI beats blockchain, ABAC, or trusted policy oracle overall.",allowed
C11,Threat Model/Results,RQ2,result,"Ledger-only and ABAC/Fabric-style checks are blind to the validly re-signed compromised-signer attack as implemented.","For the synthetic compromised-signer attack, ledger-only and ABAC-style baselines have 0.0 detection because the corrupted log is validly re-signed by construction.","results/tables/full_grid_per_attack.csv; results/tables/adaptive_attack_summary.csv; results/FINDINGS.md","attack=compromised_signer; baselines detection_rate=0.0",strong_for_synthetic_attack,"Attack realism must be explained carefully; not all real attacks follow this pattern.",allowed
C12,Results,RQ2,result,"NS-PI detects the full-grid compromised-signer attack in the five-seed setting.","NS-PI detects the tested validly re-signed compromised-signer attack in the full-grid five-seed setting.","results/tables/full_grid_per_attack.csv; results/tables/adaptive_attack_summary.csv; results/tables/seed_confidence_summary.csv","attack=compromised_signer; nspi_drift detection_rate=1.0",strong_for_current_setting,"Does not hold for all flip rates or targeted attacks.",allowed
C13,Results,RQ2,result,"Trusted policy oracle also detects the compromised-signer attack.","The trusted policy oracle also detects the compromised-signer attack because it re-evaluates against an independent raw-attribute view.","results/tables/full_grid_per_attack.csv; results/tables/nspi_compromised_signer_sensitivity_summary.csv; results/FINDINGS.md","trusted_policy_oracle detection_rate=1.0",strong_for_synthetic_benchmark,"Requires uncompromised original request attributes.",allowed
C14,Results,RQ3,result,"NS-PI misses 2% and 5% global compromised-signer corruption.","NS-PI misses 2% and 5% global corruption in the current synthetic sensitivity study.","results/tables/nspi_compromised_signer_sensitivity_summary.csv; results/FINDINGS.md","flip_fraction_requested=0.02|0.05; nspi_any_detection_rate=0.0",strong_for_current_setting,"Detection boundary is workload-dependent.",allowed
C15,Results,RQ3,result,"NS-PI detects global compromised-signer corruption from 10% in the current workload, with size caveats.","In the current sensitivity study, NS-PI detects the global compromised-signer attack from 10%, but stress results show this threshold is workload-size dependent.","results/tables/nspi_compromised_signer_sensitivity_summary.csv; results/tables/workload_policy_stress_summary.csv; results/FINDINGS.md","flip_fraction_requested=0.10; size_baseline rows for cs_f10",moderate,"At N=500, 10% detection is not stable; do not state a universal threshold.",allowed_with_boundary
C16,Results,RQ3,result,"Global NS-PI is weak for localized station/district attacks.","Global NS-PI is weak for localized attacks because the changed share of the full workload can remain small.","results/tables/nspi_targeted_compromised_signer_summary.csv; results/FINDINGS.md","target_scope station/district; low global detection rates",strong_for_current_setting,"Grouped drift is needed for this threat model.",allowed
