summary_group,value,count
decision,allow,111
decision,deny,401
decision,escalate,488
decision_by_scenario,court_request::allow,9
decision_by_scenario,court_request::deny,15
decision_by_scenario,court_request::escalate,64
decision_by_scenario,cross_jurisdiction_sensitive::deny,29
decision_by_scenario,cross_jurisdiction_sensitive::escalate,127
decision_by_scenario,emergency_override::deny,13
decision_by_scenario,emergency_override::escalate,62
decision_by_scenario,expired_approval_token::deny,52
decision_by_scenario,juvenile_sensitive::deny,25
decision_by_scenario,juvenile_sensitive::escalate,69
decision_by_scenario,normal_in_jurisdiction::allow,99
decision_by_scenario,normal_in_jurisdiction::deny,22
decision_by_scenario,normal_in_jurisdiction::escalate,72
decision_by_scenario,random_context::allow,3
decision_by_scenario,random_context::deny,32
decision_by_scenario,random_context::escalate,42
decision_by_scenario,revoked_credential::deny,69
decision_by_scenario,sealed_record::deny,33
decision_by_scenario,sealed_record::escalate,52
decision_by_scenario,stale_case_assignment::deny,111
primary_reason_code,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,111
primary_reason_code,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,19
primary_reason_code,DENY_CLASSIFIED_SHARE_WITHOUT_VALID_APPROVAL,7
primary_reason_code,DENY_EXPIRED_APPROVAL_TOKEN,52
primary_reason_code,DENY_INACTIVE_CREDENTIAL,85
primary_reason_code,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,102
primary_reason_code,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,14
primary_reason_code,DENY_STALE_CASE_ASSIGNMENT,111
primary_reason_code,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,11
primary_reason_code,ESCALATE_CONTEXTUAL_REVIEW_REQUIRED,19
primary_reason_code,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,89
primary_reason_code,ESCALATE_EMERGENCY_REVIEW_REQUIRED,62
primary_reason_code,ESCALATE_NODE_STATUS_DEGRADED,5
primary_reason_code,ESCALATE_PRIVACY_SENSITIVE_RECORD,250
primary_reason_code,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,63
required_approval,classified_record_approval|cross_jurisdiction_superior_approval,2
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,8
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,34
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,4
required_approval,classified_record_approval|sealed_record_superior_review|sensitive_record_approval,1
required_approval,classified_record_approval|sensitive_record_approval,2
required_approval,contextual_superior_review,19
required_approval,cross_jurisdiction_superior_approval,58
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review,5
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review,1
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,4
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review,12
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,20
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval,152
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,42
required_approval,cross_jurisdiction_superior_approval|superior_emergency_review,10
required_approval,manual_node_outage_review,5
required_approval,manual_node_outage_review|sensitive_record_approval,4
required_approval,none,512
required_approval,sealed_record_superior_review,11
required_approval,sealed_record_superior_review|sensitive_record_approval,10
required_approval,sensitive_record_approval,78
required_approval,sensitive_record_approval|superior_emergency_review,6
sensitivity_by_decision,CLASSIFIED::deny,138
sensitivity_by_decision,CLASSIFIED::escalate,128
sensitivity_by_decision,HIGH::deny,182
sensitivity_by_decision,HIGH::escalate,243
sensitivity_by_decision,LOW::allow,28
sensitivity_by_decision,LOW::deny,17
sensitivity_by_decision,LOW::escalate,36
sensitivity_by_decision,MEDIUM::allow,83
sensitivity_by_decision,MEDIUM::deny,64
sensitivity_by_decision,MEDIUM::escalate,81
