rank,dataset,source_url,source_type,content,granularity,access_license_note,first_experiment_use,limitations
1,NCRB Crime in India 2023,https://www.data.gov.in/catalog/crime-india-2023,official India OGD,"Cognizable crimes, IPC/SLL, violent crime, cybercrime, crimes against vulnerable groups, arrests, disposal, convictions",Annual state/UT district city depending on table,NDSAP/GODL context on OGD,India aggregate crime trend baseline,"Reported/registered cases only; not incident-level public data"
2,BPRD Data on Police Organizations,https://bprd.nic.in/page/data_on_police_organization_dopo,official India report,"Police manpower, infrastructure, vehicles, police stations, organizations",State/UT and organization level,Public reports; verify PDF reuse terms,Police-capacity covariates and normalization,"Capacity covariates can reflect reporting intensity, not true crime"
3,Synthetic multi-station ABAC workload,local generated dataset,synthetic,"Station, officer, role, rank, case assignment, record sensitivity, approval, purpose, time-window attributes",Request/event level,Generated locally,Primary blockchain-security-XAI benchmark,"Synthetic assumptions must be documented and stress-tested"
4,NCRB ADSI 2023,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023,official India OGD,"Accidental deaths, traffic accidents, suicides, causes, age/gender/profession distributions",Annual national state/UT city depending on table,OGD/GODL context,Public-safety context and cautionary comparative plots,"Ethically sensitive; not a crime target"
5,Elliptic Bitcoin Transaction Dataset,https://www.kaggle.com/datasets/ellipticco/elliptic-data-set,global benchmark,"Bitcoin transaction graph with licit/illicit/unknown labels and anonymized features",Graph nodes and temporal steps,Kaggle terms; restrictive/noncommercial,Blockchain/security graph anomaly/XAI,"Feature meanings anonymized; not policing data"
6,UK Police Open Data,https://data.police.uk/,global official open data,"Street-level crimes, outcomes, stop-and-search, approximate location and month",Monthly street-level,Open Government Licence v3.0,Incident-level crime method benchmark,"UK context does not transfer directly to India"
7,Chicago Crimes 2001 to Present,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2,global city open data,"Crime incidents with type, time, location, arrest flag and administrative geography",Incident-level city data,City open data terms,Spatiotemporal forecasting benchmark,"U.S. city data with reporting and policing bias"
8,UNSW-NB15,https://research.unsw.edu.au/projects/toniot-datasets,security benchmark,"Network-flow features and attack labels",Flow level,Verify original terms,Security anomaly detection baseline,"Lab/testbed data; leakage and split design matter"
9,CSE-CIC-IDS2018,https://www.unb.ca/cic/datasets/ids-2018.html,security benchmark,"PCAP/log/flow data for multiple attack families",Flow/packet/log level,AWS/UNB access terms,Security anomaly detection and XAI,"Large and lab-generated"
10,Amazon Employee Access Challenge,https://www.kaggle.com/c/amazon-employee-access-challenge/data,access-control benchmark,"Employee/resource/role categorical attributes and access approval labels",Request level,Kaggle competition terms,Access-control ML and explanation baseline,"License/access constraints; not law-enforcement data"

