request_id,timestamp_utc,requester_role,requester_station_id,requester_district_id,requester_agency,target_case_type,target_record_type,target_station_id,target_district_id,record_sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,purpose,action,decision,primary_reason_code,required_approval,record_pointer_id,payload_hash,ciphertext_hash,explanation_hash,block_number,block_hash
REQ-000001,2026-05-27T00:13:00Z,Sub-Inspector,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,POLICE,WOMEN_CHILD_SAFETY,VICTIM_RECORD,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,CLASSIFIED,true,false,false,false,OPEN,INVESTIGATION,VIEW,deny,DENY_INACTIVE_CREDENTIAL,none,7c23875bb15e8c80d7552142,a2442cd1b07b7d697a72fce383002c7874017b441bad6ffaf1b3c61537c5588f,fa45e1768efdafddfa7ac53d4cc100b3442f63380cf9930f0a283684f235e2eb,f0bd4f3b97a4df2217c29b442e77234b44dd0fc780dcfdbcd5685a3cdd411fe0,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000002,2026-05-27T00:14:00Z,Inspector,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,POLICE,NARCOTICS,FIR_SUMMARY,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,LOW,false,false,false,false,OPEN,INVESTIGATION,VIEW,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,none,d9fa6ca507763dfc70176711,39bcbf6c3960e10e5f45ffc2efd4df18271e1ea2748914d106787b96abc4dcbf,36bc2ed864f8213ba8e4f2214463a0050fa6e21101745412c727085cf5a3f961,0a76906011c17bd9b6acb25d53052d67244217f47a7f4cbb88dd16133eee5a02,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000003,2026-05-27T00:36:00Z,Station House Officer,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,POLICE,JUVENILE_PROTECTION,EVIDENCE_MEDIA,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,CLASSIFIED,false,false,true,true,OPEN,FORENSIC_REVIEW,APPROVE,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,6eacda078835644ed89c8566,4b6ac19dd370ba803ecacb1cf76818e95e6a02d1a2833e492850cdd5f75336d6,ec828f9a041246f129cb9148a86701e27d45677e0dfe2550a891c318b0da3635,a444f106a40bb84e1d6409199d0652f8f60f811305dd769cb627d4bbf480b281,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000004,2026-05-27T00:36:00Z,Inspector,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,POLICE,NARCOTICS,COURT_SUBMISSION,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,MEDIUM,false,false,false,false,SEALED,SUPERVISION,VIEW,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,none,49c8948a3804bbf816fe35d7,d7a65a9480f1adac3f8a56afcefea37803690af9f10f0b74fddb90ddb390095c,b5a9b5016a079437856de0c62c5e1822b38e429e8aaa4413e864d40a1c2d918a,3b39d6f59eb50aaec9e5dab73aaea2e32268ee86d8b3b12734dca814f3d30f5f,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000005,2026-05-27T00:45:00Z,Cybercrime Officer,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,CYBERCRIME,GENERAL_THEFT,FIR_SUMMARY,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,LOW,false,false,false,false,OPEN,INVESTIGATION,VIEW,deny,DENY_STALE_CASE_ASSIGNMENT,none,1ac6841b92f2572fe14d7bb8,c88d706dbc65cb2e90311425c4943172939a3c753320b160193b1ba1b11a1bb6,c08167a7a6ae4d6a1be6c12d8f622f604ae0871e832bb694dc9a5b7ed3390931,dd06e583ee11b7fc10c3205face8414b1cda8cb7a4aaec2392e8246fca9a7230,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000006,2026-05-27T01:36:00Z,Prosecutor Liaison,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,PROSECUTION,GENERAL_THEFT,FORENSIC_REPORT,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,CLASSIFIED,false,false,false,false,OPEN,EMERGENCY_RESPONSE,VIEW,escalate,ESCALATE_EMERGENCY_REVIEW_REQUIRED,cross_jurisdiction_superior_approval|superior_emergency_review,aa978648087d758b62033b89,2de6ab7fbe98af5b296569f7f9711a54afc795c4acfe7b14fb749cae1061c674,511a61306f8414318edb2aedf2c88953b04817154ead346af4daae32d018a4ad,ad503725a0156c5f5149579d6cda2f102fbb9a844acf96f72dabd066d40bc790,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000007,2026-05-27T01:17:00Z,Constable,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,POLICE,WOMEN_CHILD_SAFETY,WITNESS_STATEMENT,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,HIGH,true,true,false,false,SEALED,COURT_PRODUCTION,VIEW,escalate,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,a4850b69fe1db7981651e042,5c0c265557546d591987ec0f78cdf966c6916397a5ca93cdd47c6a275a21663d,26a2ec27edc171e0c6ae2089ff0174467dd38b08a57507286ff8c51351cf743f,2e89689f16f90510e3b5822aeddd44dd93095938031ce14ce2a72052d73329c7,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000008,2026-05-27T01:12:00Z,Sub-Inspector,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,POLICE,WOMEN_CHILD_SAFETY,JUVENILE_RECORD,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,HIGH,true,false,true,false,OPEN,COURT_PRODUCTION,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,cross_jurisdiction_superior_approval|sensitive_record_approval,cb688cf1eda2b81b3f07ea9e,3abed29ca27d4785b5124f0f90270b9771cb431ef0b2e940340b7c89f1094e65,efd9f7064e2c1b025da26351d7260afe518c2d8afd7c512597588f12c423835d,b38df0e20391fa25fdcacafc82cf0da3cca9b4c3296681e99c6e6173d0185462,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000009,2026-05-27T00:54:00Z,Inspector,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,POLICE,JUVENILE_PROTECTION,JUVENILE_RECORD,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,CLASSIFIED,false,false,true,false,SEALED,INVESTIGATION,VIEW,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,none,73e1aa4f6653022a7b2c8529,2d6aab11447d9776173db1b5d38fb5640b9aab6ad72125f667a363f9cd9f5732,96ca80d3db2fb97258402d8d66ab7151ad6d4e18e91ff06b904e44fe5b7eb7e5,c8227d45095c5e5e6ae7a1f80b3f7e686953352b411af14ed9399477cbc0bd83,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000010,2026-05-27T02:30:00Z,Constable,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,POLICE,NARCOTICS,VICTIM_RECORD,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,HIGH,true,false,false,false,OPEN,FORENSIC_REVIEW,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,sensitive_record_approval,7fabf92c335b28d35afdd6e7,5cae78c63659442b94a1d9216138dcd543cea333b9e7330a7c87329307d2e4f9,8819f00e42ecdf97ba37f318eb3f55d99bad545be4dc9e85a75f5dfc86d24455,ecd29a4546d3c216b85246d167ba4c5a0c450d4d4d1e26b53b7f7a9f64ac1ac1,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000011,2026-05-27T01:28:00Z,Prosecutor Liaison,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,PROSECUTION,CYBER_FRAUD,JUVENILE_RECORD,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,CLASSIFIED,false,false,true,false,SEALED,COURT_PRODUCTION,VIEW,escalate,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,2e2ac9a056b9d38d5ca25b36,a684b83604e5c15b12cc17d1105fb27dfed23be0c73f1aec0758cea7442547d3,fb47cbdcdad3d34287af31a680f24ca24bbf0eb59b00e6f0705bdfae3ee24654,512995722a7b064e05592d4b39c8b12be0f06005f5f0e007bfeeb281216d2796,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000012,2026-05-27T03:00:00Z,Cybercrime Officer,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,CYBERCRIME,NARCOTICS,VICTIM_RECORD,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,CLASSIFIED,true,false,false,false,SEALED,SUPERVISION,UPDATE,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,none,ff14482635d6ecfb53a8f23a,bddbebd05956072b420c2e49234ff5c8eced54594a880636cd8afb9eaafcb143,a689637a60502fcfc6d491a0b61b9fff67a812f5f3e74f7e6bfda6b82acdd1cd,30672bdfd17c1220c7afaab33fd9aae4b6b22a11f5156c894afd11291a51d7cb,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000013,2026-05-27T01:18:00Z,Inspector,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,POLICE,NARCOTICS,COURT_SUBMISSION,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,MEDIUM,false,false,false,false,SEALED,COURT_PRODUCTION,DOWNLOAD,escalate,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,sealed_record_superior_review,49c8948a3804bbf816fe35d7,d7a65a9480f1adac3f8a56afcefea37803690af9f10f0b74fddb90ddb390095c,b5a9b5016a079437856de0c62c5e1822b38e429e8aaa4413e864d40a1c2d918a,4086873db8698b3a5f06fe81677f026c31168e37140127c4970fcfbbe9905362,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
REQ-000014,2026-05-27T01:52:00Z,Constable,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,POLICE,JUVENILE_PROTECTION,FORENSIC_REPORT,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,HIGH,false,false,true,false,OPEN,SUPERVISION,VIEW,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,cross_jurisdiction_superior_approval|sensitive_record_approval,5855928c4b5552319f80bb30,28db917af5a9ac08f2ad8920d19193753ade95d26f9799e97586c1fec61384f3,9777601a74285350c8be1397a26807eea6dd36fdb2103a00879ebf2f71f0ea59,b767bb37458eea08e5b359055db22ccfbace24031b320bcec0a682699237572b,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1
