profile_group,value,count
request.scenario_type,court_request,46
request.scenario_type,cross_jurisdiction_sensitive,221
request.scenario_type,emergency_override,59
request.scenario_type,expired_approval_token,33
request.scenario_type,juvenile_sensitive,179
request.scenario_type,normal_in_jurisdiction,72
request.scenario_type,random_context,71
request.scenario_type,revoked_credential,69
request.scenario_type,sealed_record,185
request.scenario_type,stale_case_assignment,65
request.cross_jurisdiction,false,116
request.cross_jurisdiction,true,884
request.approval_token_status,EXPIRED,33
request.approval_token_status,MISSING,449
request.approval_token_status,NOT_REQUIRED,115
request.approval_token_status,PRESENT_VALID,403
request.purpose,AUDIT,45
request.purpose,COURT_PRODUCTION,91
request.purpose,EMERGENCY_RESPONSE,68
request.purpose,FORENSIC_REVIEW,105
request.purpose,INVESTIGATION,438
request.purpose,PROSECUTION_REVIEW,84
request.purpose,SUPERVISION,158
request.purpose,TRAINING,11
request.action,APPROVE,35
request.action,DOWNLOAD,192
request.action,SHARE,63
request.action,UPDATE,44
request.action,VIEW,666
request.record_sensitivity_level,CLASSIFIED,300
request.record_sensitivity_level,HIGH,462
request.record_sensitivity_level,LOW,61
request.record_sensitivity_level,MEDIUM,177
officer.credential_status,ACTIVE,215
officer.credential_status,REVOKED,12
officer.credential_status,SUSPENDED,13
officer.role,Constable,44
officer.role,Cybercrime Officer,9
officer.role,Forensic Officer,24
officer.role,Head Constable,28
officer.role,Inspector,37
officer.role,Prosecutor Liaison,12
officer.role,Senior Superintendent,8
officer.role,Station House Officer,19
officer.role,Sub-Inspector,59
record.record_type,CASE_DIARY,108
record.record_type,COURT_SUBMISSION,105
record.record_type,CYBERCRIME_COMPLAINT,97
record.record_type,EVIDENCE_MEDIA,108
record.record_type,FIR_SUMMARY,117
record.record_type,FORENSIC_REPORT,98
record.record_type,JUVENILE_RECORD,90
record.record_type,VICTIM_RECORD,98
record.record_type,WITNESS_STATEMENT,79
record.sensitivity_level,CLASSIFIED,227
record.sensitivity_level,HIGH,453
record.sensitivity_level,LOW,48
record.sensitivity_level,MEDIUM,172
