method_id,method_name,method_type,disabled_rule_groups,accuracy_drop_from_full,false_allow_delta_from_full,false_deny_delta_from_full,false_escalate_delta_from_full,extra_errors_vs_full,interpretation
rbac_role_action_only,RBAC role/action only,baseline,none,0.7100,656,54,0,710,"Removal increases false allows, which is high risk for sensitive access governance."
full_configured_pbac,Full configured PBAC/ABAC,proposed,none,0.0000,0,0,0,0,Reference configured policy; should match Step 2 oracle if configuration and evaluator are aligned.
no_approval_rules,Ablation: approval rules removed,ablation,approval,0.0530,0,0,53,53,Removal increases unnecessary escalations.
no_assignment_rules,Ablation: assignment rules removed,ablation,assignment,0.0650,0,0,65,65,Removal increases unnecessary escalations.
no_sealed_record_rules,Ablation: sealed-record rules removed,ablation,sealed_record,0.1320,32,0,100,132,"Removal increases false allows, which is high risk for sensitive access governance."
no_privacy_rules,Ablation: privacy rules removed,ablation,privacy,0.0460,46,0,0,46,"Removal increases false allows, which is high risk for sensitive access governance."
no_jurisdiction_rules,Ablation: jurisdiction rules removed,ablation,jurisdiction,0.0080,8,0,0,8,"Removal increases false allows, which is high risk for sensitive access governance."
no_sensitivity_rules,Ablation: sensitivity rules removed,ablation,sensitivity,0.0440,19,0,25,44,"Removal increases false allows, which is high risk for sensitive access governance."
no_emergency_network_rules,Ablation: emergency/network rules removed,ablation,emergency|network,0.0010,1,0,0,1,"Removal increases false allows, which is high risk for sensitive access governance."
no_context_review_fallback,Ablation: fallback review removed,ablation,fallback_review,0.0150,15,0,0,15,"Removal increases false allows, which is high risk for sensitive access governance."
