dataset,source,fields_or_content,granularity,usability,limitations,publication_suitability,recommended_use
"Synthetic multi-station access-control workload","Generated locally from documented policy rules","station district state officer role rank case assignment sensitivity approval purpose time window credential status emergency flag request decision audit event","request/event level","Primary benchmark for blockchain security XAI overlay","Synthetic assumptions may not match real police operations; must publish generator seed and policy oracle","strong if generator is reproducible","Core Experiment 1"
"NCRB Crime in India 2023","https://www.data.gov.in/catalog/crime-india-2023","cognizable crimes IPC SLL violent crime murder cybercrime crimes against women children SC ST senior citizens arrests disposal convictions","annual aggregate by state/UT district/city/table where available","India aggregate trend modeling and public context","reported/registered cases only; not incident-level FIR data; schema must be profiled","strong for aggregate claims only","Aggregate crime trend baseline"
"NCRB Crime in India 2022","https://www.data.gov.in/catalog/crime-india-2022","similar annual aggregate crime tables for 2022","annual aggregate by table","time-series continuity and holdout checks","older schema harmonization required; reported crime only","strong for aggregate trend work","Temporal baseline with 2023"
"BPRD Data on Police Organizations","https://bprd.nic.in/en/page/data_on_police_organization_dopo","police manpower infrastructure vehicles police stations state/UT and force statistics","state/UT and organization level","police-capacity covariates and synthetic workload calibration","not a crime dataset; capacity may proxy reporting intensity","strong as covariates","Normalize and contextualize NCRB aggregates"
"NCRB ADSI 2023","https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023","accidental deaths traffic accidents suicides causes means demographic aggregates","annual aggregate by table","public-safety context and ethical cautionary comparison","suicide is sensitive and not a crime-prediction target","moderate with ethics guardrails","Context only not core modeling"
"CCTNS operational status","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2238241","police station coverage FIR digitization NDC replication standardized forms master codes","national and state/UT administrative status","baseline context and synthetic station counts","not open raw operational data","strong as context only","Architecture assumptions"
"ICJS official description","https://www.mha.gov.in/en/commoncontent/icjsncrb-administration","CCTNS e-Courts e-Prisons e-Forensics e-Prosecution Data Sharing Matrix","system-level description","inter-agency workflow context","no request logs or datasets","strong as context only","Workflow assumptions"
"I4C National Cybercrime Reporting Portal","https://i4c.mha.gov.in/ncrp.aspx","cybercrime reporting portal features dashboards status tracking financial fraud reporting workflow","system-level description","cybercrime workflow inspiration","no public complaint records","moderate as context","Optional cyber scenario design"
"NJDG/eCourts public judicial data","https://doj.gov.in/the-national-judicial-data-grid-njdg/","case details orders judgments civil and criminal case information","court/case/judgment level depending source","legal NLP and downstream criminal-justice context","not FIR data; scraping/API/legal terms must be checked","moderate for legal NLP","Optional court-text XAI only"
"IndianBailJudgments-1200","https://arxiv.org/abs/2507.02506","1200 Indian bail judgments with attributes such as bail outcome crime type IPC sections and reasoning","judgment/case level","Indian criminal-justice NLP and fairness/explanation benchmark","court orders not police records; recent dataset needs verification","moderate","Optional XAI legal text benchmark"
"ILDC for CJPE","https://arxiv.org/abs/2105.13562","Indian Supreme Court case corpus for judgment prediction and explanation","case/judgment level","legal NLP explanation baseline","court prediction task not police access governance","moderate","Optional legal NLP comparison"
"UK Police Open Data","https://data.police.uk/about/","street-level crime ASB outcomes stop-and-search approximate location month force category","monthly street/outcome level","incident-like crime forecasting and XAI methods","UK context; anonymized approximate locations","strong for external benchmark only","Optional method benchmark"
"Chicago Crimes 2001 to Present","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2","incident type date location arrest domestic beat district ward community coordinates","incident level city data","standard spatiotemporal crime benchmark","US city context and reporting bias","strong for method benchmark only","Optional incident-level baseline"
"FBI NIBRS / Crime Data API","https://www.fbi.gov/services/cjis/ucr/","incident offense victim offender arrestee property data where agencies report via NIBRS","incident/agency/year depending endpoint","rich incident-level criminal-justice benchmark","US reporting rules and agency completeness vary","moderate to strong for method benchmark","Optional incident-level benchmark"
"UCI Communities and Crime","https://archive.ics.uci.edu/dataset/183/communities+and+crime","socioeconomic demographic law-enforcement variables and violent crime rate","community aggregate","interpretable regression and fairness teaching baseline","old US aggregate data with missing values","moderate","Baseline only not India claims"
"Elliptic Bitcoin Transaction Dataset","https://www.kaggle.com/datasets/ellipticco/elliptic-data-set/data","Bitcoin transaction graph with licit illicit unknown labels and anonymized features","graph node/edge temporal steps","blockchain/security graph anomaly detection and XAI","feature meanings anonymized; not policing data; Kaggle terms","moderate","Optional blockchain-security experiment"
"UNSW-NB15","https://research.unsw.edu.au/projects/unsw-nb15-dataset","network flows and attack labels from cyber range","flow/packet derived records","cyber anomaly detection and XAI baseline","lab/testbed data; leakage-prone preprocessing","strong for cybersecurity benchmark","Optional Experiment 3"
"CSE-CIC-IDS2018","https://registry.opendata.aws/cse-cic-ids2018/","PCAP/log/flow cybersecurity data from CSE/CIC project","packet/flow/log level","intrusion detection and explanation benchmark","large and generated in testbed","strong for cybersecurity benchmark","Optional Experiment 3"
"Amazon Employee Access Challenge","https://www.kaggle.com/c/amazon-employee-access-challenge/data","employee role resource manager and access approval historical records","request level","access-control ML and explanation baseline","corporate not policing; Kaggle terms must be checked","moderate","Optional access-risk model baseline"
"Kaggle Indian crime mirrors","various Kaggle uploads","usually region crime type time features with uncertain provenance","varies","quick exploratory practice","provenance and license often weak; may duplicate NCRB without clear processing","weak or rejected unless provenance is proven","Learning only"
