claim_id,introduction_claim,paragraph_slot,source_id,status,confidence,notes
C1,"India already has national-scale digital policing infrastructure through CCTNS.",1,"PIB-CCTNS-2026","supported","strong","Use exact 17798 figure and date."
C2,"CCTNS digitizes FIRs chargesheets and related police processes.",2,"PIB-CCTNS-2026","supported","strong","Do not imply public availability."
C3,"CCTNS data is replicated near-real-time at the National Data Centre.",2,"PIB-CCTNS-2026","supported","strong","Use official wording carefully."
C4,"CCTNS uses standardized investigation forms and master codes.",2,"PIB-CCTNS-2026","supported","strong","Good interoperability context."
C5,"ICJS connects police courts prisons forensics and prosecution.",2,"MHA-ICJS-2026","supported","strong","Use for inter-agency scope."
C6,"Sensitive police and criminal-justice records require contextual authorization and reviewable disclosure.",3,"PIB-CCTNS-2026;MHA-ICJS-2026;NIST-ABAC-2014","inference from supported facts","moderate","This is a research motivation, not an official stated conclusion."
C7,"ABAC evaluates subject object action and environment attributes against policy.",4,"NIST-ABAC-2014","supported","strong","Use NIST definition."
C8,"ABAC is relevant to cross-organization information sharing while retaining control.",4,"NIST-ABAC-2014","supported","strong","Good security paragraph citation."
C9,"Permissioned blockchain is suitable for known organizations compared with open public-chain participation.",4,"FABRIC-2018","supported","strong","Phrase as candidate suitability, not universal best."
C10,"Blockchain can support tamper-evident audit and access-control properties but does not make data private by itself.",4,"NIST-BC-AC-2022;FABRIC-ABAC-2022","supported plus inference","strong","Use as balanced blockchain claim."
C11,"Digital evidence blockchain literature exists, so the novelty is not blockchain evidence management alone.",5,"EVIDENCE-BC-2021;LECHAIN-2021","supported","strong","Use to narrow gap."
C12,"Fabric plus ABAC has already been studied in generic data-sharing contexts.",5,"FABRIC-ABAC-2022","supported","strong","Use to avoid novelty overclaim."
C13,"Law-enforcement XAI needs stakeholder-aware explanations and must account for automation-bias risks.",4,"XAI-LE-2025","supported","strong","Use in XAI rationale."
C14,"High-stakes decisions should prefer interpretable models where feasible.",4,"RUDIN-2019","supported","strong","Use for model choice rationale."
C15,"Predictive-policing data can create feedback-loop risks.",6,"FEEDBACK-2018","supported","strong","Use to explain why paper is not individual prediction."
C16,"Public NCRB data should be treated as aggregate reported/registered crime context, not individual police-record data.",6,"NCRB-2023","supported plus inference","strong","Use for scope boundary."
C17,"SEBA-XAI keeps raw sensitive records off-chain and stores commitments for requests policies approvals models and explanations.",7,"Architecture proposed by this paper","design claim","strong","No external citation needed but mark as proposal."
C18,"The paper does not claim deployment legal compliance SOTA crime prediction or formal privacy guarantee.",8,"Author scope boundary","scope claim","strong","Must appear in introduction or limitations."
