summary_group,value,count
decision,allow,47
decision,deny,377
decision,escalate,576
decision_by_scenario,court_request::allow,4
decision_by_scenario,court_request::deny,5
decision_by_scenario,court_request::escalate,37
decision_by_scenario,cross_jurisdiction_sensitive::deny,34
decision_by_scenario,cross_jurisdiction_sensitive::escalate,187
decision_by_scenario,emergency_override::deny,14
decision_by_scenario,emergency_override::escalate,45
decision_by_scenario,expired_approval_token::deny,33
decision_by_scenario,juvenile_sensitive::deny,38
decision_by_scenario,juvenile_sensitive::escalate,141
decision_by_scenario,normal_in_jurisdiction::allow,43
decision_by_scenario,normal_in_jurisdiction::deny,8
decision_by_scenario,normal_in_jurisdiction::escalate,21
decision_by_scenario,random_context::deny,24
decision_by_scenario,random_context::escalate,47
decision_by_scenario,revoked_credential::deny,69
decision_by_scenario,sealed_record::deny,87
decision_by_scenario,sealed_record::escalate,98
decision_by_scenario,stale_case_assignment::deny,65
primary_reason_code,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,47
primary_reason_code,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,24
primary_reason_code,DENY_CLASSIFIED_SHARE_WITHOUT_VALID_APPROVAL,5
primary_reason_code,DENY_EXPIRED_APPROVAL_TOKEN,33
primary_reason_code,DENY_INACTIVE_CREDENTIAL,78
primary_reason_code,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,149
primary_reason_code,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,16
primary_reason_code,DENY_STALE_CASE_ASSIGNMENT,65
primary_reason_code,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,7
primary_reason_code,ESCALATE_CONTEXTUAL_REVIEW_REQUIRED,11
primary_reason_code,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,115
primary_reason_code,ESCALATE_EMERGENCY_REVIEW_REQUIRED,45
primary_reason_code,ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,1
primary_reason_code,ESCALATE_NODE_STATUS_DEGRADED,1
primary_reason_code,ESCALATE_PRIVACY_SENSITIVE_RECORD,300
primary_reason_code,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,103
required_approval,classified_record_approval|cross_jurisdiction_superior_approval,4
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,15
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,48
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,3
required_approval,classified_record_approval|sealed_record_superior_review|sensitive_record_approval,2
required_approval,classified_record_approval|sensitive_record_approval,5
required_approval,contextual_superior_review,11
required_approval,cross_jurisdiction_superior_approval,67
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review,1
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,2
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,4
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review,19
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,45
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval,207
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,30
required_approval,cross_jurisdiction_superior_approval|superior_emergency_review,8
required_approval,manual_node_outage_review,1
required_approval,manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,1
required_approval,manual_node_outage_review|sensitive_record_approval,2
required_approval,none,424
required_approval,sealed_record_superior_review,8
required_approval,sealed_record_superior_review|sensitive_record_approval,11
required_approval,sensitive_record_approval,78
required_approval,sensitive_record_approval|superior_emergency_review,4
sensitivity_by_decision,CLASSIFIED::deny,128
sensitivity_by_decision,CLASSIFIED::escalate,172
sensitivity_by_decision,HIGH::deny,161
sensitivity_by_decision,HIGH::escalate,301
sensitivity_by_decision,LOW::allow,11
sensitivity_by_decision,LOW::deny,27
sensitivity_by_decision,LOW::escalate,23
sensitivity_by_decision,MEDIUM::allow,36
sensitivity_by_decision,MEDIUM::deny,61
sensitivity_by_decision,MEDIUM::escalate,80
